filepath,entropy,magic_mismatch,is_executable,file_size,modification_hour,size_zscore,anomaly_score,is_anomaly
/etc/openldap/schema/dyngroup.schema,5.203615686909925,0,0,3289,8,-0.5299563886312197,0.22201024505459632,0
/etc/openldap/schema/collective.ldif,5.359480096788381,0,0,2036,8,-0.7260623346245253,0.19137527526974846,0
/etc/openldap/schema/samba.schema,5.34312531432014,0,0,5689,8,-0.4745130524848162,0.21222448414026296,0
/etc/openldap/schema/inetorgperson.schema,5.249628100862458,0,0,6267,8,-0.46116044902955733,0.2179735003718899,0
/etc/openldap/schema/openldap.ldif,4.91751966111111,0,0,3308,8,-0.4748767878369787,0.23977004044306865,0
/etc/openldap/schema/corba.ldif,5.299547286963895,0,0,1845,8,-0.7637796612254855,0.19150146207215096,0
/etc/openldap/schema/core.ldif,5.361511708646938,0,0,20612,8,2.942194518461532,0.041335724711497046,0
/etc/openldap/schema/duaconf.schema,4.676386002269907,0,0,10388,8,-0.3659596205881702,0.2223681613419462,0
/etc/openldap/schema/krb5-kdc.schema,5.271885198419199,0,0,4059,8,-0.5121683182842486,0.21630044491965172,0
/etc/openldap/schema/pmi.ldif,5.307673839776371,0,0,6904,8,0.23523581141460734,0.21242814579406927,0
/etc/openldap/schema/apple_auxillary.schema,4.967305848884534,0,0,717,8,-0.5893731638681154,0.23556988290963793,0
/etc/openldap/schema/microsoft.schema,5.302380260803984,0,0,122955,8,2.234494554408583,-0.00022064535755761394,1
/etc/openldap/schema/ppolicy.schema,4.909595821441678,0,0,19603,8,-0.15308031117604165,0.22278428917596088,0
/etc/openldap/schema/pmi.schema,4.985090372903419,0,0,20467,8,-0.13312071016333638,0.21866785363066388,0
/etc/openldap/schema/apple.schema,5.27836756677328,0,0,48470,8,0.5137875157148879,0.10291172788146236,0
/etc/openldap/schema/core.schema,5.430813648426665,0,0,20501,8,-0.13233526290126232,0.1887297279436455,0
/etc/openldap/schema/openldap.schema,5.211813145784116,0,0,1514,8,-0.5709613559894973,0.22503492953331516,0
/etc/openldap/schema/inetorgperson.ldif,5.401741934630361,0,0,3481,8,-0.44071397369055926,0.21314769792126365,0
/etc/openldap/schema/netinfo.schema,4.605846427536398,0,0,8455,8,-0.4106146075760861,0.22663934598420465,0
/etc/openldap/schema/README,4.840054301881353,0,0,3512,8,-0.16444592818213646,0.25984820583845125,0
/etc/openldap/schema/fmserver.schema,5.340896869368019,0,0,2059,8,-0.5583710984062515,0.2153004080392748,0
/etc/openldap/schema/collective.schema,4.912438121698172,0,0,6190,8,-0.4629392560642544,0.23217839081724073,0
/etc/openldap/schema/ppolicy.ldif,5.413752243026654,0,0,4032,8,-0.33190639799878396,0.21663164542953883,0
/etc/openldap/schema/java.ldif,5.3695890866214135,0,0,2979,8,-0.539845376589418,0.20978680202360472,0
/etc/openldap/schema/nis.schema,5.345622692619319,0,0,7834,8,-0.424960570803968,0.21513068103864935,0
/etc/openldap/schema/misc.schema,5.375439017126822,0,0,2387,8,-0.5507938424662431,0.21109448001357123,0
/etc/openldap/schema/java.schema,4.898499041213002,0,0,13901,8,-0.28480443730387206,0.22502040687092095,0
/etc/openldap/schema/nis.ldif,5.319949184428444,0,0,6809,8,0.21647588457119782,0.21125766264874857,0
/etc/openldap/schema/duaconf.ldif,5.282384239200583,0,0,4842,8,-0.17195333754445005,0.24057201898535158,0
/etc/openldap/schema/cosine.ldif,5.391189808638304,0,0,12006,8,1.2427426193627698,0.11938037979047728,0
/etc/openldap/schema/dyngroup.ldif,5.233834020613155,0,0,3330,8,-0.47053238372587336,0.22659665366736337,0
/etc/openldap/schema/microsoft.ext.schema,5.1672725048879276,0,0,177122,8,3.48582754984285,-0.06435698078510599,1
